,KOIS,host_star,KOIP,Kepname,star_mass,star_radius,CDPP_6h,b,planet_period,planet_radius,e_Rp,T,RpAvg,Prat,Delta
67,K00159, 8972058,K00159.02,Kepler-115 b ,1.07,1.126,50.931,0.4118,2.403643296,1.03725330538,0.109369634438,1482.13159291,0.0,0.0,0.0
68,K00168,11512246,K00168.01,Kepler-23 c  ,1.05,1.49,48.624,0.1274,10.74242766,3.04044106083,0.474726770339,1007.73533891,2.43934487749,1.51153968383,12.0483128327
69,K00168,11512246,K00168.03,Kepler-23 b  ,1.05,1.49,48.624,0.7535,7.10694385,1.83824869416,0.355153571058,1155.87037889,0.0,0.0,0.0
70,K00168,11512246,K00168.02,Kepler-23 d  ,1.05,1.49,48.624,0.2081,15.27438229,2.20101035641,0.349283394584,896.506805601,2.62072570862,1.42187434474,10.0395345327
71,K00171, 7831264,K00171.01,Kepler-116 b ,1.195,1.31,58.423,0.5115,5.968717469,3.10312145796,0.421928406591,1200.14848604,0.0,0.0,0.0
72,K00171, 7831264,K00171.02,Kepler-116 c ,1.195,1.31,58.423,0.0231,13.071489,2.06225762901,0.271001976825,923.85807318,2.58268954348,2.18999962184,23.0563381862
73,K00172, 8692861,K00172.02,Kepler-69 c  ,0.873,1.046,48.952,0.583,242.46712,1.91244432419,0.311341455526,297.668342315,2.22302607225,17.6694770381,63.257946081
74,K00172, 8692861,K00172.01,Kepler-69 b  ,0.873,1.046,48.952,0.254,13.72237104,2.5336078203,0.27359823273,774.94189468,0.0,0.0,0.0
75,K00179, 9663113,K00179.02,Kepler-458 b ,1.381,1.8,63.185,0.5993,572.383277,6.73622581982,0.15079565573,299.943070805,6.31279519533,27.5976584222,46.5347570669
76,K00179, 9663113,K00179.01,Kepler-458 c ,1.381,1.8,63.185,0.3588,20.74028413,5.88936457083,0.917786197563,906.717225321,0.0,0.0,0.0
77,K00191, 5972334,K00191.03,             ,0.917,0.939,116.549,0.3269,0.708620008,1.34605986997,0.115266780756,1898.1495751,0.0,0.0,0.0
78,K00191, 5972334,K00191.02,             ,0.917,0.939,116.549,0.8901,2.418405445,2.99916880884,0.324246076559,1258.56192005,2.1726143394,3.41283821752,34.3186136877
79,K00191, 5972334,K00191.01,Kepler-487 b ,0.917,0.939,116.549,0.5156,15.358768403,2.2036257573,0.978337600785,680.168782473,7.60139728307,6.35078308923,22.4032468638
80,K00209,10723750,K00209.01,Kepler-117 c ,1.173,1.51,77.959,0.2044,50.79034619,1.6816588122,0.64904549443,619.315984032,9.69324550471,2.70220340037,12.9487559733
81,K00209,10723750,K00209.02,Kepler-117 b ,1.173,1.51,77.959,0.4557,18.79590048,7.70483219721,0.09170877376,862.292605266,0.0,0.0,0.0
82,K00232, 4833421,K00232.02,Kepler-122 b ,1.026,1.18,64.354,0.0659,5.76616658,2.27962671739,0.298867945508,1123.82132343,0.0,0.0,0.0
83,K00232, 4833421,K00232.01,Kepler-122 c ,1.026,1.18,64.354,0.4116,12.465995556,5.79422570976,0.763404931559,869.078982805,4.03692621357,2.16192081568,16.3637336863
84,K00232, 4833421,K00232.03,Kepler-122 d ,1.026,1.18,64.354,0.0269,21.5878875,1.88531660595,0.250401536642,725.028768333,3.83977115785,1.73174195378,11.8958779167
85,K00232, 4833421,K00232.05,Kepler-122 f ,1.026,1.18,64.354,0.3786,56.2587885,2.25150735883,0.296147747098,526.439525918,2.06841198239,2.60603491194,28.3698967117
86,K00238, 7219825,K00238.01,Kepler-123 b ,1.11,1.25,56.689,0.2035,17.23231686,2.8736907034,0.357103995637,825.622191103,0.0,0.0,0.0
87,K00238, 7219825,K00238.02,Kepler-123 c ,1.11,1.25,56.689,0.2452,26.6951659,1.49173688484,0.195677212232,712.263322066,2.18271379412,1.54913388123,13.2461469758
88,K00241,11288051,K00241.03,Kepler-124 b ,0.68,0.673,66.434,0.1525,3.41045424,0.824442904209,0.0732213995664,908.518170201,0.0,0.0,0.0
89,K00241,11288051,K00241.02,Kepler-124 d ,0.68,0.673,66.434,0.5985,30.9507608,1.28328047162,0.172317285121,435.744266424,1.76593104028,2.23933728428,22.7814938372
90,K00241,11288051,K00241.01,Kepler-124 c ,0.68,0.673,66.434,0.8474,13.82139306,2.24858160894,0.232608978615,570.002354327,1.53651225657,4.05265459888,41.551671714
91,K00244, 4349452,K00244.02,Kepler-25 b  ,1.173,1.27,18.553,0.0053,6.238534771,2.55418626577,0.27484166643,1179.90275146,0.0,0.0,0.0
92,K00244, 4349452,K00244.01,Kepler-25 c  ,1.173,1.27,18.553,0.1062,12.720374354,4.37230020941,0.481513447124,931.193864421,3.46324323759,2.03900031352,17.9628814249
93,K00245, 8478994,K00245.02,Kepler-37 c  ,0.812,0.791,17.58,0.0797,21.30199109,0.721668340849,0.0600267468855,559.394630852,0.0,0.0,0.0
94,K00245, 8478994,K00245.01,Kepler-37 d  ,0.812,0.791,17.58,0.0269,39.79223792,1.91990852853,0.154217962506,454.460986118,1.32078843469,1.86800556586,21.9916880742
95,K00246,11295426,K00246.01,Kepler-68 A b,1.051,1.33,14.965,0.023,5.398753927,2.45329675292,0.318170788513,1189.50553955,0.0,0.0,0.0
96,K00246,11295426,K00246.02,Kepler-68 A c,1.051,1.33,14.965,0.0678,9.60503867,0.983101506517,0.130258887843,980.496192352,1.71819912972,1.77912140466,19.9842735643
97,K00260, 8292840,K00260.01,Kepler-126 b ,1.109,1.23,18.237,0.6919,10.49567752,1.39421482786,0.153802933122,984.518908325,0.0,0.0,0.0
98,K00260, 8292840,K00260.03,Kepler-126 c ,1.109,1.23,18.237,0.7189,21.86967617,1.41122918524,0.178389963973,769.65806887,1.40272200655,2.08368408122,25.7193295045
99,K00260, 8292840,K00260.02,Kepler-126 d ,1.109,1.23,18.237,0.034,100.2828693,2.24038851661,0.240480041195,463.913384544,1.82580885092,4.58547572998,45.9361218249
100,K00262,11807274,K00262.01,Kepler-50 b  ,1.15,1.46,23.51,0.3359,7.8128584,1.41706967814,0.199946516083,1155.30219948,0.0,0.0,0.0
101,K00262,11807274,K00262.02,Kepler-50 c  ,1.15,1.46,23.51,0.5929,9.37664325,1.66825253726,0.282857372334,1087.86124065,1.5426611077,1.20015527864,6.3457882296
102,K00266, 7375348,K00266.02,             ,1.109,1.173,20.419,0.3242,47.7436033,1.20312484902,0.133659140003,568.553686713,1.38344813358,1.88643552481,23.5900409192
